Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,25.625,19.9375,2,0,4.875,5,10,2,2,1,5,1.75,3.875,0,1,4,0,2,2,3,1,0,1.4375,0,0,0,1,0,0,0,1,3,1,2,1,1,6,0,0,4,3,0,0,0,2,9,0,0,0,0,0,4,4,0,2,0,0,0,0,141.5,122
SD06,Rocky Mountain,25.125,0,9,2,1,4.25,4,2,2,1,0,0,0.375,1,3,0,1.125,0,0,0,0,1,0,0,0,2,0,2,2,1,2,0,0,0,0,2,5,1,0.125,0,1,0,0,3,0,0,1,1,2,0,1.125,0,0,1.125,0,0,0,0,0,0,84.25,84.75
SD08,Kootenay Lake,17,9,0,10.125,0,28.125,4.75,14,0,0,4,0,1,13.25,0,1,7.625,3.0625,4,1,8.875,1,2.125,1.25,0,0,0,0,4,2,1,0,1,0,0,0,5.125,2,0,0,4,1,2,0,1,3,1.25,0,1,0,0,0,1.5,2,0,1,0,0,0,1,165.0625,155.625
SD10,Arrow Lakes,1,0,5,0,0,1.5,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,31
SD19,Revelstoke,1.125,0,0.875,1,0,0,1,1.625,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,3.25,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,0,0,0,0,0,0,2,0,0,0,0,0,3,25,36.125
SD20,Kootenay - Columbia,4,3,39.875,1,2,0,0,9,1,1,1,2,2,3,1,0,1,1,1,2,1,0,2,0,0,1,0,0,7,2,0,0,6,0,1,2,1,0,0,0,2,3,0,2,1.5,1,1,2,0,1,2,1,0,0,0,0,0,0,0,9,123.375,117.625
SD22,Vernon,10,3,6,0,3,1.125,0,57.125,11,5,11.375,6,7.125,28,4,7,11.875,1,3,11.125,5,3,0,2.125,0,2,0,0,2,0,7.5,3,15,1,5,9.25,3,2,1,0,1,0,0.5,3,2,1.125,21.25,0,0,0,4,0,3,64.625,0,0,0,1,0,1,350.125,296.75
SD23,Central Okanagan,3,3,9.4375,3.25,2,10,52,0,11,5.75,11.3125,13,19,57.75,8,13,15.125,2,7,24,21,25,2,1,1,7,1,3,19,2,17.375,1,21,16,3,10,3.875,5.625,2,2.5,38.625,6,0,8,2.25,1,24,0,5,0,1,3,3,22.4688,0,0,0,9,0,18.75,576.0938,465.9375
SD27,Cariboo - Chilcotin,4,0,0,0,2.875,0,5,9.625,0,12.125,4,9,6,16,0,0,1,3,0,7,4,1,0,2.5,0,11.125,2,0,1,0,3,2,15.125,12,3.25,3,4.375,1,2,0,4,1.125,0,1,8,1,27.25,3,7,4,1,0,7,5,0,1,0,8,0,0,225.375,203.125
SD28,Quesnel,0,0,0,0,0,4.125,1,8.25,16,0,1,1,2,4,0,0,1,0,0,3,0,0,0,1,1,1.25,0,0,3,1,0,2,16,3,5.375,5,0,1,0,1,1,0,1,0,1.125,0,4,2,0,1,0,0,0,2,0,0,0,4,1,0,99.125,126.125
SD33,Chilliwack,0,1,3.125,0,1,2,2,10.125,5,2,0,161.875,73,120.125,18.125,6,13.875,7,5,25.125,36.125,6,1.125,1,1,4,0,3,0,0,5.625,1,7,2,0,5.25,5,1.625,0,0,4.125,5,1,1,5.0625,0,18,1,23,57.625,9,0,2,1,0,1,0,13,0,9.125,687.0625,447.0313
SD34,Abbotsford,0,0,1,0,0,0,8.5,15.625,4,1,83.8125,0,102.625,154.875,12.25,3,12,3,6.875,19.125,8,4,0,0,1,3,0,0,1,0,0,0,6,6,3,4.9375,4,5.5,0,0,2,7,3,0,2,1,15.125,0,55.375,6,2,6,3,3,0,0,1,3.125,0,2,585.75,662.375
SD35,Langley,1,2,0,0,2,1,4,6,2,3,40.4375,111.375,0,429,33.875,22,32.9375,14,74,21.125,58.25,7,2.875,2,4,3,0,0,2,0,0,0,3,2,2,2,3,0,0,0,6,3,1.875,2,5.0625,0,1.5,6,19.125,2,0,0,0,0,0,1,0,3.125,1,3,945.5625,730.8125
SD36,Surrey,2,2,1,0,0,3.875,9,20.5,16,2,27.25,77.5,207.25,0,228.625,115.625,281.125,53.25,146.875,31,63.125,11,3,12.125,0.875,7,0,1,0,0,5.25,1,20,0.25,8.125,4,11.125,4,6,1,4,22,2,3,1.125,1,19.25,3,13.125,6,6,1,3,3,0,1,0,8.125,3,21.125,1504.5,1965.25
SD37,Delta,0,0,0,0,0,0,1,7.5,2,1,5,9,18,324.125,0,71,51.5,9,29,3,9,1,5,1,1,2,0,0,0,0,0,0,2,1,0,0,4,4,2,0,2,2,1,1,3,1,2,0,1.125,2,1,0,2,1,0,0,0,3.5,0,4,589.75,569
SD38,Richmond,1,1,0,0,0,0,0,0,0,1,6.1875,4,4.125,54.5,19.125,0,154.5625,4,43.75,0,6,0.9375,2,2,0,0,0,0,0,0,1,1,0,0,0,2,8.25,2,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,1.5,0,15,342.9375,551.25
SD39,Vancouver,0,0,0,0,1,1,5,6,0,2,12.1875,4,9,135.5,23,134.875,0,31,201.5,15.25,60.5,25.0625,23.8125,11.125,2,7.375,0,1,0,3,1,1,4,2,2,0,5,4,3.25,16.375,1,3,1,1,1,0,6,6,2,2,3.125,0,11,1,0,1,0,14.125,4,56,867.0625,1454.8125
SD40,New Westminster,0,0,0,0,0,0,0,2,0,0,8,3,9,39.125,4,12,53.75,0,60.125,8,17,9.125,6,1,0,1,1,0,0,0,0,0,3,0,0,0,0.625,1,0,1,0,1,0,0,9,1,0,0,2,2,0,0,0,1,0,0,0,3,0,3,261.75,351.75
SD41,Burnaby,2,1,0,0,0,0,0,4.25,0,0.75,1.5625,7.375,19.25,64.8125,8,24.375,215.3125,67.5,0,13.125,76.625,21.25,7.5,1,1,6.5,0,1,0,0,1,0,2,2,0,2,6,3,0,2,6,2,0,0,4,0,6,0,4,1,6,1,0,0,0,0,0,1,4,9,606.1875,955.5
SD42,Maple Ridge - Pitt Meadows,0,1,1,0,0,0,5,6,3,0,4.25,17,23.375,48.125,7,6,25.375,13,48.5,0,193.125,14.125,2,1.125,2,3,0,0,0,2,1,0,8,0,0,1,0,2,0,0,2,1,1,0,0,0,2,0,22.125,2,1,0,0,1,0,0,0,1.125,0,4,475.25,393.25
SD43,Coquitlam,1,0,1,0,0,0.875,1,3.875,5,1,8.5625,8,19.75,73,7.25,17,117.125,52.125,196.125,57.375,0,23.875,15,2,1,5,0,1,0,1,1,1,3,0,0,0,6,8,1,1.125,5.0625,7,0,0,1,1,6,2,9,0,4,0,1.75,3.25,0,1,0,0,0,12,693.125,760.0625
SD44,North Vancouver,0,0,1.25,1,0,0,3,6.125,2,0,2.125,4.125,4,23.25,6.125,10,58.5625,5,28,0,16.125,0,49.125,14.25,0,9,0,0,0,4,0,1,2.0625,0,1.125,0,2,0,1,1,2,6,1,0,2.25,0,4.125,1,0,0,3,0,0,0,0,1,0,4.125,0,22,301.75,371.9375
SD45,West Vancouver,0,0,0,0,0,0,0,5,0,0,0,1,6.125,15,4.75,16,42.0625,12,11,2,22,107.5,0,1.25,0,22.125,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0.875,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,16,294.6875,184.6875
SD46,Sunshine Coast,2,0,2,0,0,2,1,1,0,1,7.1875,3,2,6,0,6,10.125,4,6,2,6,10.625,3,0,3,9,0,0,0,0,0,1,2,3,1,3,0,3,0,1,1,2,0,1,1,1,0,0,0,2,0,1,0,2,0,0,0,2,0,3,116.9375,109.375
SD47,Powell River,0,0,0,0,0,0,1,1,0,0,2,3,6.875,3,0.875,0,6,8,0,2,1,0,1,9,0,7,0,0,0,1,0,0,1,1,0,0,1,0.75,0.875,2,0,5,0,3,23.5625,1.25,2,0,2,0,0,0,0,2,0,1,0,3,0,10.75,112.9375,84.75
SD48,Sea to Sky,0,0,2,1,2,3.5,0,5,1,0,3,0,2,2,3,1,16,0,2,7,4,18,10.75,0,0,0,0,0,0,0,1,0,4,5.75,2,5.0625,4,1.625,0,0,0,3,4,1,4.75,1,1,0,0,0,1,0,2,0,0,1,0,0,0,30,155.4375,175.625
SD49,Central Coast,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,16,5
SD50,Haida Gwaii - Queen Charlotte,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,23,27
SD51,Boundary,1,4.25,4,0,4,11,0,2,1,0,2,0,4,3,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,1,0,0,55.25,66.875
SD52,Prince Rupert,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,3,1,4,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,0,2,2,0,0,0,0,1,2.125,0,0,0,1,0,0,0,1,0,16.25,0,0,0,0,0.25,6,0,51.625,84.125
SD53,Okanagan Similkameen,4,0,0,0,0,0,4,7,1,4,3,7,4.875,14.25,3,1.875,3.625,3,1,4,2,2,0,2.1875,0,2,0,0,4,0,0,0,8,7,4,1,5.375,2.125,1,0,24.9375,0,0,2,0.25,2,5,0,3,0,0,0,4,1,0,0,0,2,0,0,150.5,97.25
SD54,Bulkley Valley,0,0,2,0,0,3,2,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,4,0,0,5.125,1,2,2,0,1,0,0,1,0,0,0,0,3,2.125,0,0,6,0,0,19,2,0,0,3,4,0,0,70.25,82.125
SD57,Prince George,3,5,1.875,1,0,1.875,3,22.375,29.375,34,12.125,17,4.875,11,8,1,11.875,0.75,2.875,5,3,1.5,3,0,0,1,0,0,0,16.125,0,19.125,0,0,10.125,18.1875,0.125,0.5,1,0,2,4,0,1,1,0,19.125,0,3,2,1,2,31,2,0,1,0,85.875,5,10.875,420.5625,404.4375
SD58,Nicola - Similkameen,1,2,4.75,0,1.25,0,5.125,21.625,2,0,5.0938,7.125,14.75,17,3,9,14.875,0.75,4.125,4,0,2.125,3.625,1,1,0,0,0,0,0,4.375,0,0,0,2.125,0,1.5,1,1,0,7.625,2.125,1,0,1,1.125,30.25,8.625,6,2,0,0,1.125,12.25,0,1,0,5,0,0,214.3438,130.375
SD59,Peace River South,4,0,1,0,0,0,0,1,3.875,1,3,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,6.25,4,0,30.0625,0,1,2,0,5,0,0,0,0,0,9,4,0,0,1,11,3,8.25,0,0,0,1,0,0,114.4375,122.125
SD60,Peace River North,0,0,2,0,2,0,5.125,10.875,5,6,1.8125,4,2,5,0,2,2,1.25,1.125,2.75,16.5,0,1,0,2,3,0,0,3,0,0,0,16.875,1,23.5,0,0,0,0.125,0,7,3,0,0,1.0625,4,9,2,0,2.625,5,7,1,2.0313,1,0,0,1,0,0,165.6563,182.25
SD61,Greater Victoria,4,4,0.75,0,1,0,9.5,9,0,1,0,5,3,18.125,4.75,5,37,1,7,5.125,9,1,4,3.375,2.375,0,0,1,0,0,1,0,8,1,0,2,0,102.125,103.625,3.875,4,15.125,6,2,20.5,7,8,1,0,0,24.5,0,3,0,1.125,6,0,3.125,0,32,491,775.0627
SD62,Sooke,1,0.25,1.875,0,0,0,1,4,3.125,1,3,2,3.875,17,2.875,6,2,5,4.875,6,5,6.875,1,2.125,4,6,0,0,0,0,0,1,0,1,0,4,212,0,37.75,5.125,4,14.875,1,6,14.25,6,3.125,0.875,0,1,24.25,0,3,4.875,0,2,0,1,0,17.75,454.75,369.375
SD63,Saanich,0,1,3.5,0,0,1.125,6.125,5.375,1,0,2.5625,1,3.5,10.125,0.5,5.75,25.875,1,4.75,2.125,5,0.9375,6,0,1.5,0,0,3,0,0,0,4,5.125,0,2.5,6,325.6252,66.625,0,8.75,3,3.375,1,1,7,0,0,0.5,1,1,17.625,0,5,3.625,1,2.25,0,2,0,9.125,568.8752,238.75
SD64,Gulf Islands,1,1,0,0,0,0,1,0,1,0,2,0,0,0,2,1.75,26,2,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,9.25,3,4,0,1,1,1.5,1,9,0,0,2,0,0,9,0,0,2,0,0,0,1.125,0,0,88.625,80.5
SD67,Okanagan Skaha,3,0,2,1,0,6,7,41.375,1,7.25,8.125,6,5,17,4.875,5,11,0,2,5,7,1,3,0,0.375,7,1,0,4,2,29.625,0,7,3.75,5,1,5.5,1,0,2,0,0,3,0,3,8,12,1,0,1,1,0,0,5,0,0,0,0.5,2,12,261.375,179.3125
SD68,Nanaimo - Ladysmith,3,2,1,0,0,2.625,8,9,2,0,3,7,9,13.0625,8,3.75,24,3.25,8.875,5.125,4,10,3,7,1,5.125,0,1,0,2,1,2,13.3125,3,3,10.125,12,18.625,8.75,1,4.9375,0,39.875,17,35.0625,18,7.25,2,2.125,1,56.25,0,4,1,9,14,0,4,0,13.125,447.25,344
SD69,Qualicum,0,0,0,0,0,1,0,2,0,1,1.0625,2,9,12.875,4,0,1,0,2,0,4,5,0.875,2,0,0,0,0,1,3,0,0,4.8125,2,1,0,11,7.5,1,5,0,34.625,0,11,11,8,1,0,1,0,4,0,0,2,0,0,0,0,0,0,156.75,160.25
SD70,Alberni,0,0,0,0,0,1,1,1,1,1.125,2,2,0,3,1,0,0,2,0,0,2,0,0,0,1,1,0,0,1,2.125,0,0,3.875,1,0,3,7.125,4.125,2.25,0,0,34.125,28.5,0,12.5,5,1,0,0,1,2,0,0,3,0,1,0,1,0,3,135.75,118
SD71,Comox Valley,1.75,1,7.25,2.25,3,12,12,6.375,2,0,21.8125,9.375,6.375,20.125,10,13.5,51.875,9.625,4.125,6,20.625,25.125,11.75,10.5,30.25,10.375,0,1,0,2.875,0,3,4,0,1,2,23.375,20.875,18.375,7.25,3,42.875,33.875,12,0,42.5,11.875,5,5.875,2,12.25,0,3.375,3,4.375,27,0,0,0,15,616.8125,267.875
SD72,Campbell River,0,1,2.125,0,0,0,1,3,3,1,8.0625,7,6,10,5.875,0,1.375,2,1,0,3.0625,0,0,1,7,4.5,0,0,0,0,0,0,3,1,4,8.125,8,8,0,2,2.875,12.875,7,9,31.625,0,0,0,2,0,11,0,0,4,9,6,0,2,0,14,213.5,156.25
SD73,Kamloops - Thompson,2,5,3.25,0,1,4.25,26,35.75,35,5.125,23.9375,16,34,37.125,7,5.25,13.875,5.1875,5,12.375,11,2,0,2,1,4,0,0,2,5,4,7,30.125,28.25,8,8.9375,3,10,0,1,9,2,3,9,2.875,1,0,19.125,11.625,8,13.25,3,11,27.25,0,0,0,10.375,2,8,544.9375,373.25
SD74,Gold Trail,2,1,0,0,0,0,0,1,3,0,3.0625,1,3,2,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,2,4.125,0,2.1875,0,1,0,0,0,0,1,0,0,0,18,0,2,2,0,0,0,1,0,0,0,4,0,0,59.375,83.125
SD75,Mission Public,1,0,0,0,0,0,1,10,2,1,19.3125,85.5,28.25,42,8,1.875,5,11,5,45.875,20,3,2,0,0,0,0,0,0,0,0.5,2,1,0,1,0,3,0,0,1,0,2,0,0,2.25,0,3,0,0,3,0,0,1,3,0,0,0,1,0,9,324.5625,238.625
SD78,Fraser - Cascade,0,0,0,0,1,0,1,0,1,0,44.75,4,14,23,0,2,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,0,3,0,1,0,12,0,0,0,1,0,0,0,0,1,0,0,124.75,125.25
SD79,Cowichan Valley,1,0,1,0,0,0,2,2.25,1,0,5,7,6,3,6,1,5,2,2,9,0,2,0,2,0,2,0,1,0,0,0,1,4,2,3,2,32.3125,43.75,29.625,8.25,0.875,41.75,6,5,8.125,1,4,1,1,0,0,0,2,1,1,2,0,3.125,0,1,265.0625,238.375
SD81,Fort Nelson,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,8,0,0,20,40
SD82,Coast Mountains,1,0,0,0,1,0,3,1,1,2,9.0625,1,0,6,3,3,3,0,3,2,0,2,0,0,1,0,0,1,1,15,0,10,28,3,2,1,1,2,1,0,0,1,0,0,0,2,3,1,1,0,1,0,0,5.375,0,0,3,3.25,23,5,155.6875,184.125
SD83,Okanagan - Shuswap,4,3,1,1,4,3,68.75,29.875,3,6,11,11.5,8.4375,19,1,1,0,0,3.125,5,1,3.75,2.75,3,3,4,0,0,0,0,4,5,5,5.25,0,8.125,8.125,0,0,0,1,0,2,0,1,1,27,5,3,3,0,0,2.25,0,0,0,2,6,0,0,289.9375,226.0001
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,30,0,3,3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,50,31.5
SD85,Vancouver Island North,0,0,2,0,0,0,3,0,1,6,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1.375,1,0,2,0,0,0,0,0,0,0,0,5,2,0,0,0,3,3,2,10.5625,13.125,1,0,0,0,2,0,0,0,1.5,0,0,2,0,0,66.5625,80.25
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.125,3.5,0,0,0,0,0,10.625,10
SD91,Nechako Lakes,4,2.625,4.75,4.375,0,2.5,8.875,17.4375,9.75,6,5,6.625,10.25,20.25,90.125,13.625,46.375,3,1.875,3.625,5.125,8.125,1.375,0,0,3,0,1,5.875,0,1,6,89.75,1,7,3,4.375,2,1,3.25,4.375,4.125,1,0,3.125,2.125,10.625,2,5.125,0,5,4,7.75,5.75,0,2,1,0,0,2,463.9375,236.375
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.125,0,0,0,0,0,0,0,29.125,51
SD93,Conseil Scolaire Francophone,5,0,7,0,1,0,0,6,0,0,1,0,1,12,1,0,13,3,6,13,15,0,2,2,5,0,0,0,0,0,1,2,0,2,2,0,7,3,5,0,2,4,0,7,6,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,142,404.625
